2012-03,2.7
2012-04,2.3
2012-05,1.7
2012-06,1.7
2012-07,1.4
2012-08,1.7
2012-09,2.0
2012-10,2.2
2012-11,1.8
2012-12,1.7
2013-01,1.6
2013-02,2.0
2013-03,1.5
2013-04,1.1
2013-05,1.4
2013-06,1.8
2013-07,2.0
2013-08,1.5
2013-09,1.2
2013-10,1.0
2013-11,1.2
2013-12,1.5
2014-01,1.6
2014-02,1.1
2014-03,1.5
2014-04,2.0
2014-05,2.1
2014-06,2.1
2014-07,2.0
2014-08,1.7
2014-09,1.7
2014-10,1.7
2014-11,1.3
2014-12,0.8
2015-01,-0.1
2015-02,0.0
2015-03,-0.1
2015-04,-0.2
2015-05,0.0
2015-06,0.1
2015-07,0.2
2015-08,0.2
2015-09,0.0
2015-10,0.2
2015-11,0.5
2015-12,0.7
2016-01,1.4
2016-02,1.0
2016-03,0.9
2016-04,1.1
2016-05,1.0
2016-06,1.0
2016-07,0.8
2016-08,1.1
2016-09,1.5
2016-10,1.6
2016-11,1.7
2016-12,2.1
2017-01,2.5
2017-02,2.7
2017-03,2.4
2017-04,2.2
2017-05,1.9
2017-06,1.6
2017-07,1.7
2017-08,1.9
2017-09,2.2
2017-10,2.0
2017-11,2.2
2017-12,2.1
2018-01,2.1
2018-02,2.2
2018-03,2.4
2018-04,2.5
2018-05,2.8
2018-06,2.9
2018-07,2.9
2018-08,2.7
2018-09,2.3
2018-10,2.5
2018-11,2.2
2018-12,1.9
2019-01,1.6
2019-02,1.5
2019-03,1.9
2019-04,2.0
2019-05,1.8
2019-06,1.6
2019-07,1.8
2019-08,1.7
2019-09,1.7
2019-10,1.8
2019-11,2.1
2019-12,2.3
2020-01,2.5
2020-02,2.3
2020-03,1.5
2020-04,0.3
2020-05,0.1
2020-06,0.6
2020-07,1.0
2020-08,1.3
2020-09,1.4
2020-10,1.2
2020-11,1.2
2020-12,1.4
2021-01,1.4
2021-02,1.7
2021-03,2.6
2021-04,4.2
2021-05,5.0
2021-06,5.4
2021-07,5.4
2021-08,5.3
2021-09,5.4
2021-10,6.2
2021-11,6.8
2021-12,7.0
2022-01,7.5
2022-02,7.9
2022-03,8.5
2022-04,8.3
2022-05,8.6
2022-06,9.1
2022-07,8.5
2022-08,8.3
2022-09,8.2
2022-10,7.7
2022-11,7.1
2022-12,6.5
2023-01,6.4
2023-02,6.0
2023-03,5.0
2023-04,4.9
2023-05,4.0
2023-06,3.0
2023-07,3.2
2023-08,3.7
2023-09,3.7
2023-10,3.2
2023-11,3.1
2023-12,3.4
2024-01,3.1
2024-02,3.2
2024-03,3.5
